geo_point_2d,fenomeno,taxonomia,intensidad,alcaldia,area_m2,period_ret,intens_num,int2
"19.2561786983,-99.0900266098",Hidrometeorológicos,Precipitación,Bajo,Xochimilco,1190487.05737,5 años,54 a 60,2
"19.2296196464,-99.1180031908",Hidrometeorológicos,Precipitación,Medio,Xochimilco,790065.009725,5 años,60 a 64,3
"19.2808636014,-99.165275369",Hidrometeorológicos,Precipitación,Medio,Tlalpan,335403.998317,5 años,60 a 64,3
"19.271786889,-99.2300575638",Hidrometeorológicos,Precipitación,Medio,Tlalpan,211936.010915,5 años,60 a 64,3
"19.2761258887,-99.2228250533",Hidrometeorológicos,Precipitación,Medio,Tlalpan,300070.326627,5 años,60 a 64,3
"19.2452188944,-99.097565976",Hidrometeorológicos,Precipitación,Medio,Xochimilco,498591.358615,5 años,60 a 64,3
"19.2972980117,-99.1179093656",Hidrometeorológicos,Precipitación,Bajo,Tlalpan,84076.5868074,5 años,54 a 60,2
"19.287483428,-99.2174453685",Hidrometeorológicos,Precipitación,Medio,Tlalpan,347677.488537,5 años,60 a 64,3
"19.3727984563,-99.245440975",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,732656.181203,5 años,60 a 64,3
"19.3002932032,-99.029687491",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,792934.358117,5 años,41 a 54,1
"19.3829552183,-99.2274379319",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,113534.77893,5 años,64 a 70,4
"19.2948004811,-99.0380209762",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,275652.653875,5 años,41 a 54,1
"19.2765766586,-99.1836721611",Hidrometeorológicos,Precipitación,Medio,Tlalpan,260322.98125,5 años,60 a 64,3
"19.23759596,-99.003174216",Hidrometeorológicos,Precipitación,Muy Bajo,Tláhuac,1289814.50295,5 años,41 a 54,1
"19.3674860228,-99.2011819974",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,48279.9277684,5 años,60 a 64,3
"19.3713361592,-99.1963810003",Hidrometeorológicos,Precipitación,Medio,Álvaro Obregón,78091.0505214,5 años,60 a 64,3
"19.2217588501,-99.1138906706",Hidrometeorológicos,Precipitación,Medio,Xochimilco,155728.802784,5 años,60 a 64,3
"19.3891124828,-99.2069590505",Hidrometeorológicos,Precipitación,Alto,Álvaro Obregón,24577.0463168,5 años,64 a 70,4
